status,old,new,status_code,actual_url,redirects
FAIL,/contact-us/,/contact,200,/en-us/contact,/en-us/contact
GOOD,/tag/events/feed/,/en-us,200,/en-us,/tag/events/feed -> / -> /en-us
GOOD,/tag/modex/feed/,/en-us,200,/en-us,/tag/modex/feed -> / -> /en-us
GOOD,/comments/feed/,/en-us,200,/en-us,/comments/feed -> / -> /en-us
GOOD,/feed/,/en-us,200,/en-us,/feed -> / -> /en-us
GOOD,/tag/benefits/feed/,/en-us,200,/en-us,/tag/benefits/feed -> / -> /en-us
GOOD,/the-latest-on-rebus/feed/,/en-us,200,/en-us,/the-latest-on-rebus/feed -> / -> /en-us
GOOD,/tag/skype/feed/,/en-us,200,/en-us,/tag/skype/feed -> / -> /en-us
GOOD,/tag/data-security/feed/,/en-us,200,/en-us,/tag/data-security/feed -> / -> /en-us
GOOD,/what-is-rebus-analytics-platform/feed/,/en-us,200,/en-us,/what-is-rebus-analytics-platform/feed -> / -> /en-us
GOOD,/tag/rebus/feed/,/en-us,200,/en-us,/tag/rebus/feed -> / -> /en-us
GOOD,/fr/tag/cost-fr/feed/,/en-us,200,/en-us,/fr/tag/cost-fr/feed -> /en-us
GOOD,/rebus-brings-power-new-integrations/feed/,/en-us,200,/en-us,/rebus-brings-power-new-integrations/feed -> / -> /en-us
GOOD,/tag/soc-2/feed/,/en-us,200,/en-us,/tag/soc-2/feed -> / -> /en-us
GOOD,/tag/big-data/feed/,/en-us,200,/en-us,/tag/big-data/feed -> / -> /en-us
GOOD,/tag/supply-chain/feed/,/en-us,200,/en-us,/tag/supply-chain/feed -> / -> /en-us
GOOD,/tag/microsoft-office/feed/,/en-us,200,/en-us,/tag/microsoft-office/feed -> / -> /en-us
GOOD,/tag/werc/feed/,/en-us,200,/en-us,/tag/werc/feed -> / -> /en-us
GOOD,/tag/cost/feed/,/en-us,200,/en-us,/tag/cost/feed -> / -> /en-us
GOOD,/supply-chain-analytics/feed/,/en-us,200,/en-us,/supply-chain-analytics/feed -> / -> /en-us
GOOD,/why-supply-chain-analytics/feed/,/en-us,200,/en-us,/why-supply-chain-analytics/feed -> / -> /en-us
GOOD,/fr/the-real-cost-of-manual-analytics-in-the-supply-chain/feed/,/fr,200,/fr,/fr/the-real-cost-of-manual-analytics-in-the-supply-chain/feed -> /fr
GOOD,/fr/tag/data-security-fr/feed/,/fr,200,/fr,/fr/tag/data-security-fr/feed -> /fr
GOOD,/tag/integrations/feed/,/en-us,200,/en-us,/tag/integrations/feed -> / -> /en-us
GOOD,/tag/analytics/feed/,/en-us,200,/en-us,/tag/analytics/feed -> / -> /en-us
GOOD,/fr/tag/soc-2-fr/feed/,/fr,200,/fr,/fr/tag/soc-2-fr/feed -> /fr
GOOD,/fr/rebus-earns-soc-2-type-i-and-ii-certifications/feed/,/fr,200,/fr,/fr/rebus-earns-soc-2-type-i-and-ii-certifications/feed -> /fr
GOOD,/fr/tag/integrations-fr/feed/,/fr,200,/fr,/fr/tag/integrations-fr/feed -> /fr
GOOD,/fr/tag/werc-fr/feed/,/fr,200,/fr,/fr/tag/werc-fr/feed -> /fr
GOOD,/fr/tag/big-data-fr/feed/,/fr,200,/fr,/fr/tag/big-data-fr/feed -> /fr
GOOD,/fr/tag/modex-fr/feed/,/fr,200,/fr,/fr/tag/modex-fr/feed -> /fr
